day,hour,dark,midnight,AnaSetupTimeBin,contime,pixelsize,plant_leafs,plant_2Darea,plant_3Darea,plant_touch,plant_circularity,plant_compactness,plant_asymmetry,origin_x,origin_y,origin_z,com_x,com_y,com_z,reliable_fraction,reliable_average,reliable_weighted,01:leaf_2Darea,01:leaf_3Darea,01:leaf_touch,01:leaf_circularity,01:leaf_compactness,01:leaf_curvature,01:leaf_length,01:leaf_width,01:leaf_aspectratio,01:leaf_distance,01:xy_origin_center,01:xy_origin_base,01:xy_origin_tip,01:xy_base_tip,01:xy_left_right,01:z_origin_center,01:z_origin_base,01:z_origin_tip,01:z_base_tip,01:z_left_right,01:posi_x,01:posi_y,01:posi_z,02:leaf_2Darea,02:leaf_3Darea,02:leaf_touch,02:leaf_circularity,02:leaf_compactness,02:leaf_curvature,02:leaf_length,02:leaf_width,02:leaf_aspectratio,02:leaf_distance,02:xy_origin_center,02:xy_origin_base,02:xy_origin_tip,02:xy_base_tip,02:xy_left_right,02:z_origin_center,02:z_origin_base,02:z_origin_tip,02:z_base_tip,02:z_left_right,02:posi_x,02:posi_y,02:posi_z,03:leaf_2Darea,03:leaf_3Darea,03:leaf_touch,03:leaf_circularity,03:leaf_compactness,03:leaf_curvature,03:leaf_length,03:leaf_width,03:leaf_aspectratio,03:leaf_distance,03:xy_origin_center,03:xy_origin_base,03:xy_origin_tip,03:xy_base_tip,03:xy_left_right,03:z_origin_center,03:z_origin_base,03:z_origin_tip,03:z_base_tip,03:z_left_right,03:posi_x,03:posi_y,03:posi_z,04:leaf_2Darea,04:leaf_3Darea,04:leaf_touch,04:leaf_circularity,04:leaf_compactness,04:leaf_curvature,04:leaf_length,04:leaf_width,04:leaf_aspectratio,04:leaf_distance,04:xy_origin_center,04:xy_origin_base,04:xy_origin_tip,04:xy_base_tip,04:xy_left_right,04:z_origin_center,04:z_origin_base,04:z_origin_tip,04:z_base_tip,04:z_left_right,04:posi_x,04:posi_y,04:posi_z,05:leaf_2Darea,05:leaf_3Darea,05:leaf_touch,05:leaf_circularity,05:leaf_compactness,05:leaf_curvature,05:leaf_length,05:leaf_width,05:leaf_aspectratio,05:leaf_distance,05:xy_origin_center,05:xy_origin_base,05:xy_origin_tip,05:xy_base_tip,05:xy_left_right,05:z_origin_center,05:z_origin_base,05:z_origin_tip,05:z_base_tip,05:z_left_right,05:posi_x,05:posi_y,05:posi_z,06:leaf_2Darea,06:leaf_3Darea,06:leaf_touch,06:leaf_circularity,06:leaf_compactness,06:leaf_curvature,06:leaf_length,06:leaf_width,06:leaf_aspectratio,06:leaf_distance,06:xy_origin_center,06:xy_origin_base,06:xy_origin_tip,06:xy_base_tip,06:xy_left_right,06:z_origin_center,06:z_origin_base,06:z_origin_tip,06:z_base_tip,06:z_left_right,06:posi_x,06:posi_y,06:posi_z,07:leaf_2Darea,07:leaf_3Darea,07:leaf_touch,07:leaf_circularity,07:leaf_compactness,07:leaf_curvature,07:leaf_length,07:leaf_width,07:leaf_aspectratio,07:leaf_distance,07:xy_origin_center,07:xy_origin_base,07:xy_origin_tip,07:xy_base_tip,07:xy_left_right,07:z_origin_center,07:z_origin_base,07:z_origin_tip,07:z_base_tip,07:z_left_right,07:posi_x,07:posi_y,07:posi_z,08:leaf_2Darea,08:leaf_3Darea,08:leaf_touch,08:leaf_circularity,08:leaf_compactness,08:leaf_curvature,08:leaf_length,08:leaf_width,08:leaf_aspectratio,08:leaf_distance,08:xy_origin_center,08:xy_origin_base,08:xy_origin_tip,08:xy_base_tip,08:xy_left_right,08:z_origin_center,08:z_origin_base,08:z_origin_tip,08:z_base_tip,08:z_left_right,08:posi_x,08:posi_y,08:posi_z
16.0,20.05,1.0,0.0,120.0,24245.0,0.02961728584,4.0,2.08506573138,2.13857551272,0.0,0.169973717335,2377.0,0.0811428002715,240.599041081,436.53120563,828.179516527,243.032843895,435.273183926,828.179513794,0.0,5.6957045917e-05,-0.000169275782317,0.769290133116,0.787712150257,0.0,0.585404752748,877.0,-1.94975351138e-06,1.03151532727,1.02682756394,0.995455459362,0.869674648818,59.5226189893,65.1530472969,54.442787299,50.8263420296,326.768288932,-0.0308869185987,-0.0718107923056,-0.0206876155897,-0.00317233034443,-9.24009763746e-05,257.926082365,460.579725449,828.179982617,0.624554817307,0.635958059399,0.0,0.58189749463,712.0,1.40304205503e-06,0.848627036245,1.0315153257,1.21551079761,0.969105360335,231.896520722,232.296799199,237.486442665,240.751173663,140.82634203,-0.0185725582684,-0.0365261316345,-0.012058347717,0.00339740942287,-0.000243520783498,222.841290323,409.52516129,828.179827932,0.24210271008,0.252629958412,0.0,0.58759090069,276.0,5.07256105266e-08,0.587886375486,0.592345754999,1.00758544457,0.570668370521,316.45934589,318.000325223,318.737463001,319.08561678,233.130102354,-0.0396108234712,-0.081349199096,-0.0262537786279,-0.000229850233465,0.00236062420297,257.0,422.0,828.17990832,0.24210271008,0.252629266535,0.0,0.58759090069,276.0,-1.15627025194e-07,0.544507209759,0.583392911035,1.07141448374,0.251245188899,161.249788921,263.144444484,158.449347605,157.619864948,66.0375110254,-0.0898987716363,-2.77875619806,-0.0415496955304,0.000232599338696,-0.00232989424096,235.0,438.0,828.179908005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,20.18,1.0,0.0,121.0,24258.0,0.029617287707,4.0,2.17453847206,2.22980254263,0.0,0.169103494392,2479.0,0.0760465430075,240.351443436,436.161441387,828.17962175,242.53580705,434.81187384,828.17962376,0.0,-1.1771815574e-05,-8.07708670305e-05,0.753500825937,0.770168180824,0.0,0.601164644561,859.0,-2.71158918249e-06,1.01306711034,1.01911017015,1.00596511302,0.946156313327,59.0610110638,63.8881007284,55.651660792,52.1250163489,324.462322208,-0.0238763123169,-0.0478437159796,-0.016755141073,-0.00330029947413,5.53101500036e-05,258.9600863,462.212513484,828.180018043,0.679817392434,0.692974883135,0.0,0.594417555306,775.0,9.13860791275e-07,0.920044729759,1.03151532569,1.12115780062,1.0032642671,231.659855783,230.131049818,234.368323734,236.821488341,140.82634203,-0.0129148076746,-0.0274785610418,-0.00785762552317,0.00352842353107,-0.000151177221625,221.522619048,408.242857143,828.179849902,0.24210271008,0.252629835078,0.0,0.58759090069,276.0,1.27603742743e-06,0.592345754499,0.592345755042,1.00000000092,0.553085187134,320.763940849,318.041691987,321.589077181,323.130102354,233.130102354,-0.0324426908509,-0.069566491093,-0.0212228439502,-0.000185551475978,0.00246105268998,257.0,423.0,828.179936935,0.259646384723,0.270172660609,0.0,0.575222595188,296.0,-8.84803871892e-08,0.53393324766,0.616295835459,1.15425633852,0.222266171549,150.564160685,382.061520607,144.973441756,146.309932474,54.7824070318,-0.0806888903836,-1.21235039834,-0.034304649323,-8.9659843264e-05,-0.00258552811229,236.0,438.5,828.179936775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,20.31,1.0,0.0,123.0,24271.0,0.0296172899351,4.0,2.24997627302,2.31313536504,0.0,0.16204197061,2565.0,0.0798226625401,239.651480859,435.482134873,828.179267107,242.006812478,434.172104697,828.179268736,0.0,-7.29051389817e-05,-3.47788453593e-05,0.763149846991,0.781571804067,0.0,0.580732194859,870.0,-2.02391264761e-06,1.03151532739,1.02682756394,0.995455459249,0.992701298078,58.8162715085,63.1728875006,54.6202271115,50.8263420296,326.768288932,-0.0452915403276,-0.0939796119704,-0.0313688098639,-0.00328818405699,-0.000103620121465,259.361702128,462.846808511,828.180053453,0.725430946507,0.740342884807,0.0,0.596441029504,827.0,1.03458288986e-06,0.970163980123,1.03151532569,1.06323811935,1.03008812377,231.868566095,232.16518022,236.411563733,238.736268306,140.82634203,-0.033880821371,-0.0691128354903,-0.0221709385293,0.00359573380187,-0.000142690835358,220.531319911,406.814317673,828.17987786,0.293856550278,0.304383974967,0.0,0.585021520349,335.0,4.04713444181e-06,0.681841167783,0.628277550391,0.921442676209,0.533067462238,323.633808356,320.119239761,324.408416515,325.619655276,225.0,-0.075392520809,-0.20811834099,-0.046265004105,-0.000472038925926,0.00265562203221,256.5,423.5,828.179970172,0.24210271008,0.252628958772,0.0,0.58759090069,276.0,-1.7763881677e-07,0.527320816107,0.592345755103,1.12331191375,0.228247144448,141.209884403,267.733225458,142.294365594,141.842773413,53.1301023542,-0.176298069301,-7.82943002849,-0.0767764985665,-0.000127131374877,-0.00259319178748,236.0,439.0,828.179971048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,20.44,1.0,0.0,124.0,24284.0,0.02961728954,4.0,2.2929582759,2.35436307,0.0,0.166628585271,2614.0,0.0513870397407,240.613175298,434.793452826,828.1796262,242.106097991,433.90941135,828.179627212,0.0,-9.1524960217e-05,-1.21919121532e-05,0.753500825937,0.770168476311,0.0,0.601164644561,859.0,-2.16626234323e-06,1.01306711054,1.03618187988,1.02281662202,1.0178127645,58.726465702,62.3858890534,55.5315924535,52.1250163489,329.036243468,-0.0240563177754,-0.0448354312669,-0.0172953879104,-0.00349129343753,-9.72849707515e-05,259.946062567,463.281553398,828.180054552,0.749992091008,0.764903988996,0.0,0.598365274854,855.0,2.07866244308e-06,0.98585981723,1.02682756394,1.04155534691,1.03879866627,231.93057282,235.869266596,236.774796088,237.264773728,146.768288932,-0.0133176557178,-0.0295115661987,-0.0079831790951,0.00366690301859,0.000102987265612,220.478873239,406.296858072,828.179868667,0.295610917742,0.306137715722,0.0,0.577664825136,337.0,3.32396764007e-06,0.681841167766,0.628277550458,0.92144267633,0.525387045373,324.278113505,321.38097918,324.713441639,325.619655276,225.0,-0.0366044538972,-0.103542183494,-0.0223501582192,-0.000246554052242,0.00278345100907,256.507853403,423.552356021,828.179962865,0.24210271008,0.252628973504,0.0,0.58759090069,276.0,-1.73359126365e-06,0.527320816113,0.592345755107,1.12331191375,0.235450278665,140.182393893,139.50861765,141.824630835,141.842773413,53.1301023542,-0.0826221144686,-4.67144685275,-0.0366931200631,-0.00029515536969,-0.00260222745525,236.0,439.0,828.179966737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,20.57,1.0,0.0,125.0,24297.0,0.0296172882752,4.0,2.32892280892,2.39295912161,0.0,0.166823410824,2655.0,0.00780581484543,242.054361583,433.896512015,828.179580551,242.314930556,433.856944444,828.179581096,0.0,-9.81808152136e-05,-5.53453407853e-05,0.768412949384,0.786835178444,0.0,0.578037211625,876.0,-2.54055065986e-06,1.02810816602,1.03618187987,1.00785298096,1.02507246394,59.0655383222,63.092300496,53.2839063766,48.5035316448,329.036243468,-0.0253836977496,-0.0479693959363,-0.0181853718012,-0.00342183189691,-6.29820483088e-05,260.106765328,463.544397463,828.180035233,0.752623642205,0.768412664469,0.0,0.600464802134,858.0,9.04608557348e-07,1.00524408143,1.02640034222,1.02104589441,1.05516301068,232.191898784,235.228392499,228.551976179,225.0,133.830860672,-0.0146857172467,-0.0324223178367,-0.00901733772945,0.00350468296877,-0.000712209923967,220.475161987,405.70950324,828.179851549,0.295610917742,0.306137589524,0.0,0.577664825136,337.0,2.98704178741e-06,0.681841167761,0.628277550434,0.921442676301,0.519463713661,324.018958717,320.537365016,324.560091458,325.619655276,225.0,-0.0399076766905,-0.115392429677,-0.024192976346,-0.000133282696814,0.00273818565695,256.507853403,423.552356021,828.179942913,0.24210271008,0.252628927121,0.0,0.58759090069,276.0,1.82563488325e-07,0.546115801776,0.592345755122,1.08465229022,0.260927522323,135.790423692,155.570325134,139.692756603,139.398705355,53.1301023542,-0.0809613258152,-2.04815326652,-0.03809316052,-0.0003422916359,-0.00263446818875,236.0,440.0,828.179949797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,21.1,1.0,0.0,127.0,24310.0,0.0296172883385,4.0,2.36839607687,2.43330954761,0.0,0.162310899061,2700.0,0.0817259862107,240.736143123,435.982028978,828.179527222,242.706143345,434.049829352,828.17952882,0.0,1.47448802833e-05,8.66460459933e-07,0.774553235509,0.793852404124,0.0,0.572595265632,883.0,-1.93667157263e-06,1.03151532727,1.04712924954,1.01513687858,1.02296860258,59.2138833205,63.9932783342,55.0733548544,50.8263420296,331.260204708,-0.0280369136348,-0.0546335024549,-0.0199254675339,-0.00317847892291,-0.00021820241438,260.384696017,463.722222222,828.180029395,0.748237723544,0.76402675961,0.0,0.59696559,853.0,1.78515305156e-06,0.995599126497,1.03660507037,1.04118720355,1.06178311024,232.150741538,234.57272473,237.831224903,239.620873989,143.130102354,-0.0177734439275,-0.0377119468057,-0.011240667234,0.00331896155963,-0.00016496533938,220.709011944,405.741585233,828.17985819,0.24210271008,0.2526290134,0.0,0.58759090069,276.0,1.25764434488e-07,0.592345754498,0.592345755012,1.00000000087,0.558818634032,324.151844645,325.303591777,323.797912255,323.130102354,233.130102354,-0.0426215469205,-0.0908400431765,-0.0278045961446,0.000162105145286,0.00239136810435,258.0,423.0,828.179944517,0.24210271008,0.252628927278,0.0,0.58759090069,276.0,-4.08906097572e-09,0.568929518638,0.592345755035,1.04115841353,0.265528674683,138.418265643,-9.62411332406,140.902787281,141.340191746,53.1301023542,-0.0908680528567,-2.72115045523,-0.0430797602575,-0.000243608260871,-0.00244386316998,236.0,440.0,828.179949934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,21.23,1.0,0.0,128.0,24323.0,0.0296172881128,4.0,2.37541354672,2.43944948694,0.0,0.156706384459,2708.0,0.112943457697,240.472657489,436.760039685,828.179600425,243.07817811,433.975526852,828.179603819,0.0,-4.8786691913e-05,-3.83152070109e-05,0.768412949384,0.785957417977,0.0,0.595163314132,876.0,-2.06710023176e-06,1.02810816591,1.03618187988,1.00785298107,1.03270217569,59.7891766241,66.6379169873,54.548774741,48.5035316448,329.036243468,-0.0236703385329,-0.0437739911985,-0.0170453492324,-0.00331994494589,-0.000109538790791,260.623280423,464.107936508,828.180030454,0.749992091008,0.765781118416,0.0,0.598365274854,855.0,1.41161419535e-06,0.995599126575,1.03660507037,1.04118720346,1.059222992,232.593966467,233.507736144,237.441949923,239.620873989,143.130102354,-0.0134891411107,-0.0290992182897,-0.00820160169166,0.00339527903056,-0.000127853825764,221.3531961,405.566630553,828.179853192,0.24210271008,0.252628973184,0.0,0.58759090069,276.0,-3.62894594809e-08,0.592345754498,0.59234575504,1.00000000092,0.572745610587,325.42000398,327.867949186,324.639529222,323.130102354,233.130102354,-0.0338965045739,-0.0702223360484,-0.0222971928338,0.000143469399373,0.00245670552298,259.0,423.0,828.179942658,0.259646384723,0.270172599484,0.0,0.575222595188,296.0,1.07784283322e-07,0.587886375496,0.616295835475,1.04832474635,0.285110800908,137.330975926,162.617611119,139.17967062,139.08561678,54.7824070318,-0.0690120765656,-7.99949352207,-0.0335174173206,-0.000413950251694,-0.00261848993337,236.0,440.5,828.179947231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,21.36,1.0,0.0,129.0,24336.0,0.0296172855021,4.0,2.42014991707,2.48857237117,0.0,0.154313840931,2759.0,0.0862122535483,240.818624408,435.397557673,828.179610029,243.212212212,433.741074408,828.179611851,0.0,4.35427973715e-05,0.000100729805257,0.771921684312,0.790343664171,0.0,0.587407277558,880.0,-1.9744538795e-06,1.03151532653,1.03618187988,1.00452397869,1.0341188847,60.1270256931,62.9613294061,54.8204698967,50.8263420296,329.036243468,-0.0197135391194,-0.0376566807511,-0.0140341011529,-0.00231089508379,-0.00019970611414,260.603157895,464.017894737,828.179967656,0.754378009669,0.769289822728,0.0,0.601864486988,860.0,6.67399324776e-07,0.995599125978,1.05047471892,1.05511816103,1.05604798573,232.668956366,232.743009472,237.178706186,239.620873989,139.57392126,-0.0120897892722,-0.0258653388242,-0.00742361459922,0.00275593804964,-0.000275600408346,221.589439655,405.389008621,828.179834684,0.296488101475,0.307014277028,0.0,0.574287894491,338.0,2.97932204861e-08,0.657610507794,0.65225310322,0.991853225412,0.550149007016,322.759380968,320.677332546,323.284203945,324.162347046,230.527540152,-0.0304065485547,-0.0755369319126,-0.0190230980089,2.86931803844e-05,0.00207268123834,258.0,422.5,828.179903812,0.299996836403,0.310522994161,0.0,0.575526872244,342.0,6.17187553824e-08,0.610576028176,0.650232696402,1.06494959906,0.283856944281,142.844512973,129.337622093,140.722474885,140.906141114,59.9314171781,-0.0593255322609,-1.69214006315,-0.0273511601063,-0.000299564956757,-0.0020897440264,235.573643411,439.529715762,828.179905764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,21.49,1.0,0.0,130.0,24349.0,0.0296172877426,4.0,2.48506151325,2.55611533692,0.0,0.151217527194,2833.0,0.108828270094,240.001672085,435.087734071,828.179547662,243.392915177,433.673058174,828.179556041,0.0,-0.000146834629406,-0.000130264723015,0.789465358956,0.807887439086,0.0,0.583619183544,900.0,-1.86630535082e-06,1.05047472073,1.0433527743,0.993220259091,1.0415129554,59.7001379111,63.6038246132,54.1288876349,49.5739212599,325.407711312,-0.0259053501103,-0.0495174177523,-0.0185127825682,-0.00337496169,0.00011908940122,261.134912461,464.035015448,828.180026944,0.764027030723,0.779816053673,0.0,0.598727187895,871.0,1.65895458337e-06,1.00698778435,1.05047471894,1.04318516597,1.0635781109,232.51723392,232.172401425,238.483937352,241.927513064,139.57392126,-0.0158015626076,-0.0337493566318,-0.00980135336989,0.00333342341692,-0.000427752744111,221.540425532,405.176595745,828.179849365,0.310523041189,0.322803650606,0.0,0.569074269425,354.0,-1.47397374323e-07,0.665565762902,0.657610508567,0.988047380472,0.565437743031,322.307180294,314.664902169,324.313708702,327.724355685,234.162347046,-0.0383927845787,-0.0918051516547,-0.024210631949,-5.38052654958e-05,0.00277859780103,258.5,422.0,828.17993493,0.299996836403,0.310523058283,0.0,0.575526872244,342.0,5.02363215869e-08,0.652253102818,0.650232696746,0.996902420144,0.330857684989,142.136255109,140.236407247,140.520936238,140.527540152,59.9314171781,-0.0666776046647,-1.44843118487,-0.0333434637283,-0.000491994979054,-0.00279993665494,234.573643411,440.529715762,828.179941075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,22.02,1.0,0.0,132.0,24362.0,0.0296172883058,4.0,2.53769253718,2.60611468832,0.0,0.151905249634,2893.0,0.088850668043,241.261875393,435.399860497,828.179455027,243.475947754,433.375597324,828.179463036,0.0,-9.37123463437e-05,-0.000111706084546,0.784202256563,0.801747004217,0.0,0.596752393338,894.0,-1.28624729491e-06,1.05464163403,1.03660507037,0.982897921839,1.05358855076,59.7918173357,64.2864987082,55.9107080734,51.8427734126,323.130102354,-0.0310549026888,-0.0600659003171,-0.0220469001425,-0.00336148057547,0.000117973865891,261.374481328,464.118257261,828.180034092,0.77104450058,0.786833555621,0.0,0.604226404316,879.0,1.52631479296e-06,1.01090011929,1.05047471892,1.03914788304,1.06205215954,232.076778379,231.399855941,235.80187748,238.172553423,139.57392126,-0.0215107872335,-0.0450689626206,-0.0137208962048,0.00320673179328,-0.000259281720142,221.436708861,405.088607595,828.179861766,0.29473373401,0.307014332699,0.0,0.575950686189,336.0,1.46989088974e-06,0.633837636416,0.657610508507,1.0375062488,0.612991923825,322.722601237,327.762882195,324.248656078,322.594643369,234.162347046,-0.0451322643164,-0.09313483079,-0.0297618412036,0.000118769514658,0.00266684255609,259.94488189,420.839895013,828.179945893,0.343856023012,0.354382241779,0.0,0.557494033593,392.0,-2.42638434539e-07,0.693955235574,0.676027163328,0.974165376487,0.33040286996,143.57204117,218.278970424,141.637069696,140.194428908,61.189206257,-0.084057688747,-1.54015345454,-0.0399755453754,-0.000338870117835,-0.00280426695639,234.5,440.0,828.179947764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
